n_estimators,max_features,min_samples_split,train_R2,train_RMSE,train_MAE,train_MAPE,train_MedAE,train_Max_Error,train_Explained_Var,test_R2,test_RMSE,test_MAE,test_MAPE,test_MedAE,test_Max_Error,test_Explained_Var
20,0.01,6,0.98733981,0.373561804,0.165280752,5.322869516,0.079583333,32.60246032,0.987340212,0.973462693,0.530375933,0.246747619,8.141717756,0.122222222,23.38779762,0.9734627
20,0.01,7,0.98637422,0.387545792,0.176421122,5.723317797,0.087193362,30.69755952,0.986374584,0.973132332,0.533667023,0.252500767,8.381954279,0.128333333,25.73335317,0.973133271
20,0.01,8,0.984412173,0.414510117,0.190468082,6.371373562,0.095912698,28.42020202,0.984412334,0.971493364,0.549703328,0.261931971,8.935434617,0.135578172,26.06648352,0.971494293
20,0.01,9,0.983453097,0.427071612,0.199658711,6.677905233,0.102218615,31.70364177,0.983453152,0.971135883,0.55313931,0.267785701,9.137876701,0.141545746,26.49919553,0.9711383
20,0.01,10,0.981625736,0.450036064,0.209507283,7.056094172,0.107046287,32.80029554,0.981625839,0.969803836,0.565758736,0.275514174,9.420291325,0.144658748,26.54019499,0.96980503
20,0.1,6,0.992116048,0.294791078,0.103408724,3.092744219,0.04,29.70099567,0.992116226,0.983818526,0.414156439,0.157417088,4.832832245,0.061785714,23.66759921,0.983818974
20,0.1,7,0.991257823,0.310421741,0.109041379,3.189623505,0.041666667,28.46269841,0.991257899,0.983223282,0.421705135,0.159005948,4.765326318,0.0625,24.59541667,0.983224136
20,0.1,8,0.990281147,0.327302896,0.121431886,3.533504564,0.048571429,31.06511905,0.990281205,0.982523,0.430416411,0.172341908,5.080137638,0.070367341,21.78130952,0.982524006
20,0.1,9,0.98993297,0.333114104,0.116619136,3.377581685,0.042261905,31.63360473,0.989933005,0.982728369,0.427880073,0.160233347,4.699914622,0.06,22.56866273,0.982730144
20,0.1,10,0.989496069,0.340265778,0.1223509,3.519767714,0.046264569,29.47722944,0.989496074,0.982197373,0.434407611,0.165353736,4.828530312,0.062642774,22.71446338,0.982199196
20,0.3,6,0.997604117,0.162508143,0.027434181,0.670359444,0,21.31095238,0.997604146,0.99496306,0.231067451,0.04491342,1.110212556,0,17.53535714,0.994963064
20,0.3,7,0.997481482,0.166615289,0.02801614,0.668805427,0,20.8289881,0.997481526,0.994841223,0.233845368,0.043806053,1.077871893,0,17.55041667,0.994841258
20,0.3,8,0.997010618,0.181523573,0.031069233,0.754931034,0,25.98919192,0.997010642,0.994832119,0.234051603,0.046640098,1.154146194,0,17.05826923,0.994832273
20,0.3,9,0.996594877,0.193735293,0.033078061,0.7681061,0,26.40962966,0.996594898,0.994224284,0.247433391,0.048269151,1.150589719,0,15.57122475,0.994224318
20,0.3,10,0.996492074,0.196638043,0.034303086,0.847209216,0,25.82613817,0.996492077,0.994177984,0.248423168,0.048766833,1.228238392,0,16.31873737,0.994178455
20,0.5,6,0.998443819,0.130970181,0.016120731,0.322205113,0,18.96319444,0.998443927,0.995892524,0.208661779,0.028017819,0.572829103,0,17.40365079,0.995892806
20,0.5,7,0.998009753,0.148113895,0.017872439,0.340476739,0,22.08861111,0.998009874,0.995682889,0.213920286,0.029464683,0.576216978,0,16.87679654,0.995683154
